"ID","is_self_employed","org_size","is_tech_company","is_tech_role","employee_health_importance","willingness_to_share","reaction_to_health_disorder","gender"
"acb302182ad9e5458a2d2237aa2ccfeb",0,"26-100",1,1,8,10,6,"male"
"a2945bd35663fe7a0cfc9e24afd8d7a6",0,"26-100",1,1,7,10,5,"male"
"9388c6e06792138cf475413d6ffe3b98",0,"26-100",1,1,7,10,7,"male"
"6a96af5496b5bcac044db5a60c09f68a",0,"26-100",1,1,7,10,5,"male"
"2eac4a74c676cec85f928a9ee87f32d6",0,"26-100",0,1,3,10,5,"male"
"14c2993d756908cbe5ec61ee539aee75",0,"26-100",1,1,10,10,10,"male"
"0d7c53690f8885e03f315fd3f5226f35",0,"26-100",1,1,8,10,8,"male"
"249f40dcfc8483d581e23b164ed5df64",0,"500-1000",1,1,5,10,8,"male"
"116a56c63e903b1bb0281dde86ddd169",0,"500-1000",1,1,4,10,6,"male"
"f8186818c32648cea88571bacf68594a",0,"6-25",1,1,5,10,NA,"male"
"f0752c010e8cee313f1707c4501d50e7",0,"6-25",1,1,0,10,NA,"male"
"ec44f562f28590e53cd0cf1bbf636b0b",0,"6-25",1,1,5,10,NA,"male"
"b3c59384684c28a250894cc4f1bb1e62",0,"6-25",1,1,10,10,10,"male"
"b3132cdcad65d7f43ace0d1d814b05f0",0,"6-25",1,1,6,10,10,"male"
"946b8e0ecc7dc044dc43228930a62069",0,"6-25",1,1,10,10,5,"male"
"25db0b28f059d4b101ba32b57a2997f8",0,"6-25",1,1,5,10,10,"male"
"0b728de357aab12718020c7c4c106fce",0,"6-25",1,1,10,10,10,"male"
"025886b34871d920d01aef9a2a753379",0,"6-25",1,1,8,10,9,"male"
"ffc3078eaf88ec3d289c1ef2c02d5d01",0,"More than 1000",0,1,9,10,NA,"male"
"f0ac737c042c8d385f92d2ea0f663e9b",0,"More than 1000",1,1,4,10,NA,"male"
"e2b9915d22e66da14bfaeb577eda6d67",0,"More than 1000",1,1,8,10,8,"male"
"d2a36007729cac30a77d2a6278a2cac7",0,"More than 1000",1,1,7,10,10,"male"
"c390fde74f257e9e1d67f1eeac34bbc0",0,"More than 1000",0,1,10,10,10,"male"
"aa591d3deb131a5dbf09e080663cd09d",0,"More than 1000",1,1,5,10,8,"male"
"8336cfc6fec532d3e6100959e1a2f3c4",0,"More than 1000",1,1,6,10,3,"male"
"2f601b517e25f2623c6c1e415ea079c8",0,"More than 1000",0,1,10,10,5,"male"
"1a4eea3ffa6dc7a4936ad8690c42d6df",0,"More than 1000",0,1,5,10,5,"male"
"1ab85984f8ce55be93a3726a9e864752",0,"100-500",1,1,6,10,6,NA
"77a7ba01a34efd697c06dcc7058b5478",0,"26-100",1,1,8,10,7,NA
"a38b9fc22514534a4cbc536f20f9a2d5",0,"500-1000",0,1,8,10,5,NA
